Run Info,Run Info,Run Info,Run Info,Run Info,Run Info,Benchmark,Benchmark,Benchmark,Benchmark,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Request Counts,Request Counts,Request Counts,Request Counts,Request Latency,Request Latency,Request Latency,Request Latency,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Runtime Info,Runtime Info
Run ID,Run Index,Profile,Requests,Backend,Environment,Type,ID,Strategy,Constraints,Start Time,Request Start Time,Measure Start Time,Measure End Time,Request End Time,End Time,Duration,Warmup,Cooldown,Successful,Incomplete,Errored,Total,Successful Sec,Successful Sec,Successful Sec,Successful Sec,Successful Count,Successful Count,Successful Count,Successful Count,Incomplete Count,Incomplete Count,Incomplete Count,Incomplete Count,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Errored Requests/Sec,Errored Requests/Sec,Errored Requests/Sec,Errored Requests/Sec,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Concurrency,Incomplete Concurrency,Incomplete Concurrency,Incomplete Concurrency,Incomplete Concurrency,Errored Concurrency,Errored Concurrency,Errored Concurrency,Errored Concurrency,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Errored Input Tokens,Errored Input Tokens,Errored Input Tokens,Errored Input Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Errored Total Tokens,Errored Total Tokens,Errored Total Tokens,Errored Total Tokens,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Incomplete Input Tokens/Sec,Incomplete Input Tokens/Sec,Incomplete Input Tokens/Sec,Incomplete Input Tokens/Sec,Errored Input Tokens/Sec,Errored Input Tokens/Sec,Errored Input Tokens/Sec,Errored Input Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Incomplete Output Tokens/Sec,Incomplete Output Tokens/Sec,Incomplete Output Tokens/Sec,Incomplete Output Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Incomplete Total Tokens/Sec,Incomplete Total Tokens/Sec,Incomplete Total Tokens/Sec,Incomplete Total Tokens/Sec,Errored Total Tokens/Sec,Errored Total Tokens/Sec,Errored Total Tokens/Sec,Errored Total Tokens/Sec,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Incomplete Iter Tokens/Iter,Incomplete Iter Tokens/Iter,Incomplete Iter Tokens/Iter,Incomplete Iter Tokens/Iter,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Errored Input,Errored Input,Errored Input,Errored Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Errored Total,Errored Total,Errored Total,Errored Total,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Errored Input,Errored Input,Errored Input,Errored Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Errored Total,Errored Total,Errored Total,Errored Total,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Errored Input,Errored Input,Errored Input,Errored Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Errored Total,Errored Total,Errored Total,Errored Total,Node ID,Num Processes,Created Requests,Processed Requests,Successful Requests,Errored Requests,Cancelled Requests,End Queuing Time,End Queuing Constraints,End Processing Time,End Processing Constraints,Requests Made Successful,Requests Made Incomplete,Requests Made Errored,Requests Made Total,Queued Time Avg,Resolve Start Delay Avg,Resolve Targeted Start Delay Avg,Request Start Delay Avg,Request Targeted Start Delay Avg,Request Time Avg,Resolve End Delay Avg,Resolve Time Avg,Finalized Delay Avg,Processed Delay Avg,Metadata,Arguments
,,,,,,,,,,,,,,,,Sec,Sec,Sec,,,,,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,,,,,,,,,,,,,,,,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,,
bcf83034-b50a-420b-b905-d5dae604c53b,0,"{""type_"":""concurrent"",""completed_strategies"":[{""type_"":""concurrent"",""worker_count"":10,""max_concurrency"":8192,""streams"":8192,""rampup_duration"":0.0}],""constraints"":{""max_seconds"":420.0},""rampup_duration"":0.0,""streams"":[8192],""strategy_types"":[""concurrent""]}","{""data"": ""['prompt_tokens=10,output_tokens=1024']"", ""data_args"": ""[]"", ""data_samples"": -1, ""preprocessors"": [""GenerativeColumnMapper"", ""GenerativeChatCompletionsRequestFormatter""], ""collator"": ""GenerativeRequestCollator"", ""sampler"": ""None"", ""num_workers"": 1, ""random_seed"": 42}","{""target"": ""http://localhost:8200"", ""model"": null, ""timeout"": 600, ""http2"": true, ""follow_redirects"": true, ""verify"": false, ""openai_paths"": {""health"": ""health"", ""models"": ""v1/models"", ""text_completions"": ""v1/completions"", ""chat_completions"": ""v1/chat/completions"", ""audio_transcriptions"": ""v1/audio/transcriptions"", ""audio_translations"": ""v1/audio/translations""}, ""validate_backend"": {""method"": ""GET"", ""url"": ""http://localhost:8200/health""}}","{""str"": ""<guidellm.scheduler.environments.NonDistributedEnvironment object at 0x7ff541fafb00>"", ""type"": ""NonDistributedEnvironment"", ""class"": ""NonDistributedEnvironment"", ""module"": ""guidellm.scheduler.environments"", ""attributes"": {""run_errors"": []}}",generative_benchmark,8bf76e9c-72f5-4457-b790-7845168184d0,concurrent,"{""max_seconds"": {""type_"": ""max_duration"", ""max_duration"": 420.0, ""current_index"": 0}}",2026-03-02 05:06:26,2026-03-02 05:06:26,2026-03-02 05:07:08,2026-03-02 05:12:44,2026-03-02 05:13:26,2026-03-02 05:13:35,336.0,41.970398902893066,42.03031277656555,6711,8188,12,14911,119.41340884020534,88.48907828330994,40.01285938526695,"[82.69557166099548, 82.71201491355896, 82.74618768692017, 83.58222365379333, 83.84175324440002, 84.23264718055725, 167.2604444026947, 167.9737184047699, 168.39109230041504, 169.14620184898376, 170.1336567401886]",2054.0,2054.0,0.0,"[2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0, 2054.0]",470.2596482657548,0.0,833.9449468640431,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1940.0, 1948.0, 2046.0, 2048.0]",1656.0035519265257,1330.2645683288574,917.774012514362,"[155.00378608703613, 239.20154571533203, 363.61122131347656, 525.9404182434082, 651.578426361084, 950.2434730529785, 2234.8318099975586, 3245.2216148376465, 3509.3648433685303, 3814.4052028656006, 3956.5742015838623]",230.4146203927197,0.0,427.3262395012521,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1033.3147048950195, 1165.5933856964111, 1355.621337890625, 1888.2765769958496]",116.45051858609513,86.41273993998766,38.88596455396534,"[80.75629500672221, 80.77055937610567, 80.80291817896068, 81.60360320471227, 81.86789904721081, 82.25318812765181, 162.7950977999717, 163.66333258338273, 163.86402887292206, 164.5063345786184, 165.91804451309144]",83.93579290401388,83.61587356756738,1.1158981472545113,"[82.15839264303817, 82.15848984065393, 82.40377544739086, 82.60674466720376, 82.68596570108839, 83.00506155436577, 84.755246286039, 85.79144064260989, 86.09523824466172, 86.11219199902857, 86.15006418789135]",114.94557915956489,85.61364017274023,38.208711326878955,"[78.03180513726885, 78.1207110292168, 78.46691927718743, 80.62715730825595, 80.72547852002513, 81.54819927607114, 160.47662374211197, 160.92788275851998, 161.72948098019538, 162.3392429053492, 163.50213873071755]",83.04015669638198,82.61980107111961,1.304459274617381,"[81.41782963214143, 81.50572079345893, 81.57192534251624, 81.59426885230519, 81.78848448630686, 81.91213484255144, 83.9319989514449, 85.43357980628788, 85.54654396946353, 85.67212169184377, 85.7508583778038]",19.961309523809526,0.024866104487599853,244.64609588099276,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015942475689078105, 0.025168077297960487, 0.06518122875644566, 0.908050625457348, 518.135145151328, 28662.669703872438]",0.03571428571428571,0.009763728312566425,4.049233165156607,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009763728312566425, 0.0152822329103787, 0.0152822329103787, 0.0152822329103787, 3865.7179723502304]",2051.3909150191716,1980.0,783.6415524646031,"[4.0, 4.0, 4.0, 4.0, 536.0, 1980.0, 2747.0, 2747.0, 2747.0, 2747.0, 2747.0]",6106.438714473728,6212.0,769.2582511974703,"[5445.0, 5445.0, 5445.0, 5445.0, 5445.0, 5445.0, 6212.0, 6749.0, 8188.0, 8188.0, 8188.0]",0.002192302828743344,0.0,0.07403193268527862,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0]",15.0,15.0,0.0,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",11.206643869076697,10.0,2.1394461709991925,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 15.0, 15.0, 15.0, 15.0]",10.0,10.0,0.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",1024.0,1024.0,0.0,"[1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0]",234.88849535906206,0.0,416.5446605410274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 969.0, 973.0, 1022.0, 1023.0]",1039.0,1039.0,0.0,"[1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0, 1039.0]",246.09513922813878,10.0,418.683726556294,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 984.0, 988.0, 1037.0, 1038.0]",10.0,10.0,0.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",297.2677355112451,0.3784469516042756,11400.464010929742,"[0.18324084918681882, 0.18324084918681882, 0.18324084918681882, 0.18324084918681882, 0.18324084918681882, 0.1832453419445198, 0.39683707631558657, 0.39724059843346127, 25.88132886527793, 1566.4610902934255, 1866109.8305084745]",1044.0951409935906,0.3815377170939929,23363.773898300595,"[0.2546111091426147, 0.2546111091426147, 0.2546111091426147, 0.2546111091426147, 0.2546111091426147, 0.2546111091426147, 0.3815377170939929, 12.259439337418607, 310.4484917866148, 4310.102075768994, 1219819.9552572707]",270.3782862134151,78.28348737550954,1088.5697834330874,"[54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 167.08177809292005, 574.168925393566, 1034.7108742845865, 1888.2204114707604, 38657.179723502304]",16118.183880003218,14553.65387850931,13497.573440154856,"[6.116116098720106, 6.1161338834524495, 24.61326698317794, 30.02079381948929, 38.73391716706717, 5475.592689295039, 24235.547797434323, 34382.11669443168, 41152.863144818475, 55505.21048054245, 187049.04327681442]",21883.977000213497,19753.147003030554,14200.089580953301,"[0.0, 0.0, 258.19045860264697, 2026.2338164251207, 5621.363874505026, 11996.195772879464, 29567.921225104532, 40285.79024524652, 47592.348358995136, 64438.39047159363, 343131.11742424243]",16354.290089184373,14570.680582682291,17639.571991769764,"[6.116116098720106, 6.1161338834524495, 24.726192300890173, 30.117920613889464, 38.88367263692661, 5491.697373675319, 24268.324266731393, 34463.85435610912, 41331.08735236221, 56228.80460030692, 1999438.2720180932]",22928.072141208537,19875.227977362203,27281.44138428794,"[17.02019632270291, 41.91747034309071, 373.17531918679657, 2214.521647307286, 5735.07904413067, 12108.898817040454, 29755.785911573563, 40701.76874583636, 48231.57216956967, 67673.15829516882, 1632565.721193051]",270.3782862134151,78.28348737550954,1088.5697834330874,"[54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 54.556645568797, 167.08177809292005, 574.168925393566, 1034.7108742845865, 1888.2204114707604, 38657.179723502304]",1.0024984912333987,1.0009784735812133,0.019679634131220973,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0029411764705882, 1.0058997050147493, 1.0078817733990149, 1.0138751238850348, 3.0813253012048194]",0.999678774978754,1.0010373443983402,0.06729233111607726,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.003118503118503, 1.0061855670103093, 1.0083507306889352, 1.0178010471204189, 3.864541832669323]",1.0025009396594096,1.0009784735812133,0.01968911891439184,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0029411764705882, 1.0058997050147493, 1.0078817733990149, 1.0138751238850348, 3.0813253012048194]",1.0029200860052503,1.0010373443983402,0.036007014122943395,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.003118503118503, 1.006198347107438, 1.0083507306889352, 1.0178010471204189, 3.864541832669323]",15.0,15.0,0.0,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",11.206643869076697,10.0,2.1394461709991925,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 15.0, 15.0, 15.0, 15.0]",10.0,10.0,0.0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",1024.0,1024.0,0.0,"[1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0]",234.88849535906206,0.0,416.5446605410274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 969.0, 973.0, 1022.0, 1023.0]",519.5,15.0,504.5,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 1024.0, 1024.0, 1024.0, 1024.0, 1024.0]",123.04756961406937,10.0,315.06413378719594,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 965.0, 969.0, 1021.0, 1023.0]",5.0,0.0,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 10.0, 10.0, 10.0]",7.098793026374608,7.0,0.6620500511517354,"[5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0]",7.122252076209087,7.0,0.6611031394429148,"[5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0]",6.750000000000001,7.0,0.5951190357119042,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0]",367.889286246461,175.0,342.58270310923336,"[1.0, 6.0, 15.0, 26.0, 34.0, 60.0, 763.0, 868.0, 886.0, 922.0, 1020.0]",82.60881778212017,0.0,214.55460849125538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 316.0, 757.0, 845.0, 997.0]",187.4940396364178,9.0,302.03330675514576,"[1.0, 5.0, 6.0, 6.0, 7.0, 7.0, 175.0, 818.0, 868.0, 906.0, 1020.0]",44.86553492916463,7.0,156.33813975360152,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 44.0, 316.0, 825.0, 997.0]",3.3750000000000004,0.0,3.401133389523753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0, 7.0, 8.0, 8.0]",39.9313068097154,40.0,6.182629234606581,"[21.0, 25.0, 27.0, 30.0, 32.0, 36.0, 44.0, 48.0, 51.0, 55.0, 66.0]",39.95090376160234,40.0,6.181135152015738,"[22.0, 24.0, 27.0, 30.0, 32.0, 36.0, 44.0, 48.0, 51.0, 56.0, 66.0]",36.83333333333333,38.0,5.927806414592913,"[26.0, 26.0, 26.0, 26.0, 27.0, 33.0, 41.0, 44.0, 46.0, 46.0, 46.0]",3251.1828341528835,2456.0,1405.056711590974,"[760.0, 1186.0, 1789.0, 1870.0, 1913.0, 2019.0, 4730.0, 5212.0, 5433.0, 6061.0, 13053.0]",737.9643380556913,0.0,1458.677922915981,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2933.0, 4570.0, 5269.0, 8179.0]",1645.5570704812994,66.0,1888.159258858083,"[21.0, 25.0, 28.0, 32.0, 35.0, 40.0, 2456.0, 4873.0, 5212.0, 5740.0, 13053.0]",388.9576209086468,35.0,1088.896429065171,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.0, 1859.0, 2933.0, 4994.0, 8179.0]",18.416666666666668,0.0,18.887642932763093,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.0, 42.0, 44.0, 46.0, 46.0]",0,10,19029,19029,6711,12,12306,2026-03-02 05:13:32,"{""max_seconds"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""metadata"": {""max_duration"": 420.0, ""elapsed_time"": 426.5145766735077, ""duration_exceeded"": true, ""start_time"": 1772427986.083664, ""current_time"": 1772428412.5982406, ""stop_time"": 1772428406.083664}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 420.0, ""stop_time"": 1772428406.083664}}}",2026-03-02 05:13:32,"{""max_seconds"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""metadata"": {""max_duration"": 420.0, ""elapsed_time"": 426.5145766735077, ""duration_exceeded"": true, ""start_time"": 1772427986.083664, ""current_time"": 1772428412.5982406, ""stop_time"": 1772428406.083664}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 420.0, ""stop_time"": 1772428406.083664}}}",6711,11873,12,18596,81.5763715220185,3.3977980426682186e-05,75.59812837289637,1.6212910963231752e-05,75.59814458580733,119.4134088402053,0.00016409749335316145,232.87025349660485,1.748768401185898,0.00021300044109307396,"{""version"":1,""guidellm_version"":""0.5.3"",""python_version"":""3.12.12"",""platform"":""Linux-5.15.0-94-generic-x86_64-with-glibc2.35""}","{""target"":""http://localhost:8200"",""data"":[""prompt_tokens=10,output_tokens=1024""],""profile"":""concurrent"",""rate"":[8192.0],""backend"":""openai_http"",""backend_kwargs"":{""timeout"":600},""model"":null,""processor"":null,""processor_args"":null,""data_args"":[],""data_samples"":-1,""data_column_mapper"":""generative_column_mapper"",""data_request_formatter"":""chat_completions"",""data_collator"":""generative"",""data_sampler"":null,""data_num_workers"":1,""dataloader_kwargs"":null,""random_seed"":42,""outputs"":[""out.csv""],""output_dir"":""results_guidellm"",""sample_requests"":10,""warmup"":0.1,""cooldown"":0.1,""rampup"":0.0,""prefer_response_metrics"":true,""max_seconds"":420.0,""max_requests"":null,""max_errors"":null,""max_error_rate"":null,""max_global_error_rate"":null,""over_saturation"":null}"
